meloeiro	(fruta)
mutilação	(ferimentos)
rebelião	(resistência luta conflito insurreição revolta)
tolerar	(sofrer prestigiar respeitar honrar homenagear deixar consentir
         permitir)
_signo_do_zodíaco	(região)
reconciliar	(aceitar concordar acordar ajustar corrigir acertar)
calibrador	(Instrumento_de_medida metro instrumentos_de_medição
            Instrumentos_de_medida)
esculpir	(dividir cortar modelar moldar formar)
Endolinfa	(Fluidos_corporais)
alacridade	(alma vida)
níveis_de_cálcio_baixos_no_sangue	(sintoma)
Princípio_de_le_châtelier	(regra princípio)
lanígero	(pano têxteis fazenda tecido tecido_têxtil)
propano	(gás carburante combustível material_com_que_se_aquece)
Hipotensao	(doença_cardiovascular)
racionalismo	(Teorias_filosóficas)
reprocessar	(utilizar usar empregar)
consubstanciar	(unir unificar fundir-se intercalar)
Spray_de_pimenta	(aerossóis armas_químicas bombas_de_aerossol arma_química)
prótio	(átomo)
Artéria	(vaso_sanguíneo Vaso_sanguíneo Vaso_sangüíneo)
afiliar_se	(filiar-se juntar-se associar-se filiar_se afiliar-se ingressar
            juntar_se)
anatomia	(análise corpo_humano corpo cadáver Morfologia morfologia)
magnete	(ferramenta aparelho aparato mecanismo instrumento dispositivo
         equipamento)
sumo_de_fruta	(bebida)
silhueta	(contorno pintura borda figura desenho imagem ilustração)
bomba_de_combustível	(bombas_de_água aparelho_mecânico bomba_d'água
                      Bomba_hidráulica Bomba_Hidráulica bombagem bombas bomba)
destinação	(distribuição)
Gendarmaria	(lei polícia)
viajar	(andar ir caminhar)
cabeça_do_motor	(placa)
velcro	(pano têxteis fazenda tecido tecido_têxtil)
escaler	(embarcação Embarcações navios navio barco batel bote)
Phlox	(erva maconha)
farinha_de_soja	(farinha)
Azagaia	(lança)
reduzir_peso	(tornar revoltar-se revoltar)
sulfato_de_sódio	(Sulfatos sulfatos sulfato)
alistamento	(mobilização)
Ginastas	(Desportistas atleta)
cofre	(caixa-forte caixa)
posto_de_bombeiros	(posto estação)
Missas	(Música_religiosa)
lápide	(monumentos monumento)
astucidade	(inteligência)
Teixo	(teixo)
Faloplastia	(cirurgia_plástica)
adorar	(venerar adoração idolatrar temer reverenciar amar)
Regimes_políticos	(grupos_sociais)
javali	(świnia porco suíno)
refutação	(evidência)
espuma	(materiais borbulha bolha)
foguete	(fogo_de_artifício foguete_pirotécnico veículos veículo viatura
         Motor_a_Jacto motor_a_jato Motor_a_jacto)
desinsetizar	(proteger defender)
legar	(entregar oferecer dar_de_presente regalar dar)
carta_náutica	(comunicação_visual Comunicação_Visual)
supermarket	(empório quitanda sacolão mercadinho supermercado mercado feira)
filtro_de_ar	(filtros filtração Filtros)
CEI	(Organização_internacional Organizações_internacionais)
transtornar	(disturbar perturbar)
Relações_Públicas	(publicidade promoção anúncio propaganda)
semifusa	(nota tom)
caixotão	(painel)
concílio	(grande_reunião_popular reunião Reunião assembléia assembleia)
conversa_fútil	(tolice insensatez disparate besteira)
Imigração_alemã_nos_Estados_Unidos_da_América	(estado-unidense norte-americano)
isocianato	(sal sais)
cano	(cilindro abertura ducto aqueduto duto canal conduto)
ressentir	(não_gostar antipatizar desgostar)
andar_na_ponta_dos_pés	(ir caminhar andar)
passeio	(travessia jornada viagem caminhada andada)
Equação_de_derivadas_parciais	(Equações_diferenciais equação_diferencial
                               Equação_Diferencial)
nefrite	(Nefropatia)
embarcar	(proceder principiar embarcar-se começar iniciar entrar deslocar mover)
diretório	(Obras_de_referência Obra_de_referência cobertura capa)
episódio	(programa parte emissão ocorrência evento acontecimento capítulo seção)
degustar	(provar sentir_o_gosto experimentar)
osmose	(difusão)
lamber	(afagar tomar beber)
Mezzo_soprano	(voz)
entropia_da_informação	(medida_de_informação)
Salpingectomia	(ablação extirpação)
equação	(equalizador equalização)
basificar	(tornar revoltar-se revoltar)
eleitorado	(população cidadania gente povo)
kniphófia	(erva maconha)
Língua_inglesa_média	(Língua_inglesa Língua_Inglesa Lingua_inglesa inglês)
ácido_pícrico	(Ácidos ácidos ácido)
aperitivo	(prato)
xenón	(gás_nobre Gas_nobre elemento_químico)
almirantado	(posto cargo posição)
rosácea	(fenestra dartro janela acne)
coligar	(reunir unificar)
mas_que_inferno	(exclamação)
Operão	(DNA ADN ácido_desoxirribonucléico)
patinar	(passar_gradativamente_a deslizar resvalar escorregar derrapar)
olho_nu	(olho óculo)
cretino	(idiota simplória estúpido simplório matarruano)
Algodão_Doce	(candil caramelo bala)
diurético	(sonífero produtos_farmacêuticos medicamento narcótico entorpecente
           remédio droga)
Composto_orgânico	(composto_químico Compostos_químicos substância_química
                   Composto_químico)
umidade	(estado Estado situação condição humidade)
sair_apressado	(registrar)
ibirapitá	(madeira)
fossa	(buracos_escavados)
nó	(ligação laço)
acrobacia	(Ginástica ginástica Ginastica)
andesito	(rocha_ígnea Rochas_ígneas Rocha_ìgnea)
campo_de_concentração	(campo_de_trabalhos_forçados)
casa_astral	(região)
luz_interna	(morais moralidade moral ética)
prospecção	(terreno campo disciplina domínio)
Carbonatos	(sal sais)
jorrar	(chover_fortemente fluir correr chover_canivetes chover_a_cântaros
        chover chover_a_potes)
ácido_ascórbico	(Antioxidantes antioxidante)
Provérbios	(idioma ditado provérbio locução expressão)
rasa	(massa_de_água oceano água Corpos_de_água corpo_de_água)
amadurecimento	(processos_biológicos)
Catasetum_macrocarpum	(orquídea)
Camellia_sinensis	(arbustos arbusto moita mato arvoreta)
Fecundaçao	(enriquecimento_(nutrientes) enriquecimento)
ARN	(polymero Polímeros polímero)
Porfíria	(Deformações_genéticas)
saudades_de_casa	(anelo nostalgia saudade)
anemia_falciforme	(anemia Anemias)
Potro	(potro macho)
profilático	(produtos_farmacêuticos medicamento remédio terapia)
coiote	(loba lobo)
soprar_levemente	(soprar ventar)
Aramaico	(escrita)
fertilizar	(alterar mudar modificar)
eneágono	(polígono)
Hiperacusia	(deficiência_auditiva Surdos surdez)
Ombro	(enartrose)
pretérito	(tempo_passado)
urso-polar	(ursídeos Ursídeos urso Ursidae)
evoluir	(progredir desenvolver)
Hamster-sírio	(Hamsters hamster Hamster)
utilização	(uso ocupação atividade)
sensibilizar	(alterar mudar modificar)
intersecção	(ponto)
Harpia	(Águias Águia águia)
Aluminio	(metal Metais metais)
druso	(estudante adepto discípulo seguidor aluno apóstolo)
comissário_de_bordo	(ajudante assistente empregado)
jubilar	(aposentar)
cree	(algonquinos Línguas_algonquinas línguas_algonquinas)
Substância_branca	(tecido_nervoso)
besuntar	(espalhar)
Doutrina_do_meio-termo	(temperança moderação)
ponto_forte	(virtude recurso vantagem propriedade bem)
Haganah	(forças_armadas exército)
brokat	(pano têxteis fazenda tecido tecido_têxtil)
pilão	(Torres torre roque)
Bomba_hidráulica	(aparelho_mecânico)
ereção	(Excitação procedimento processo)
engravidamento	(sexo transa)
sistemas_de_coordenadas	(sistema organização estrutura ordem)
Franco_belga	(franco_suíço Franco franco)
salamandras	(anfíbio anfíbios Anfibios)
olheiro	(recrutador)
passamento	(cefaleia dor dor_de_cabeça)
Papel-higiénico	(papel folha)
insulano	(morador habitante)
bala	(Projéctil projétil míssil)
redeterminar	(determinar achar)
eviscerar	(remover retirar tirar)
administrador	(fiduciário liderança responsável cabeça líder chefe)
divagar	(contar informar)
entrar_em_conflito	(atingir bater colidir)
vangloriar-se	(exagerar aumentar)
lugarejo	(divisão_administrativa divisão_territorial distrito_administrativo)
folhadelata	(placa chapa lousa)
Haplótipo	(combinação)
monopolizar	(ter governar reger)
plâncton	(criatura organismo ser)
Jóqueis	(ginete joquei cavaleiro)
Festa_de_São_Pedro_e_São_Paulo	(feriado_religioso_cristão)
Arapaho	(Índios_das_planícies Índios_das_Planícies algonquinos)
chance	(existência coincidência oportunidade probabilidade acidente ser
        forma_de_vida Existência possibilidade)
hássio	(elemento_químico)
violeta_de_genciana	(Fungicida antifungico fungicidas fungicida Bactericida
                     Vermífugo)
coisas	(objeto objeto_físico)
Assembleia	(assembléia assembleia)
Percepção_Visual	(percepção Percepção)
fissão	(reação_nuclear reacções_nucleares reacção_nuclear)
Banheiro_público	(banheiro casa_de_banho privada)
seqüela	(anormalidade)
Dinamo	(gerador)
supliciar	(doer angustiar machucar)
queimadura	(danificação defeito ferimentos dano mal lesão traumatismo inchaço
            deterioração)
Pax_Romana	(paz)
pele_de_galinha	(reflexo Reflexos)
isolacionismo	(Política_Externa política_externa)
Fio_Dental	(fio Fio_têxtil lã)
recuperação	(memória salvamento progresso feito curação ato ação acção melhoria
             salvação)
Síndrome_da_Guerra_do_Golfo	(síndrome síndroma)
pirata	(pirataria_moderna assaltante)
Monumentos_megalíticos	(monumento monumentos)
asbestos	(anfíbola)
Ácido_selênico	(Ácidos ácidos ácido)
unitário	(grupo jogo)
Softbol	(beisebol basebol)
gramínea	(erva maconha)
Sociedade_das_Nações	(Organização_internacional Organizações_internacionais)
conceber	(tornar provocar desenhar revoltar-se revoltar esboçar projetar criar
          realizar construir causar)
trinar	(cantar emitir soltar)
mártir	(vítima)
biodegradar	(apodrecer putrefazer)
Trio	(Composição_Musical Composição_musical)
catacumba	(túnel)
tempo_de_rotação	(tempo intervalo intervalo_de_tempo)
Barão	(par)
prednisona	(Glicocorticoide Glicocorticóide Glicocorticoides anti-inflamatório)
noite	(Unidades_de_tempo escuridão anoitecer jornada crepúsculo pôr_do_sol
       unidade_de_tempo dia trevas período etapa tempo)
Formiga_Correição	(formiga Formigas)
aterrissagem	(vinda chegada)
sub-área	(grupos_sociais)
Dique_seco	(doca)
atrofia	(sintoma)
Esperantido	(língua_artificial linguagem_artificial)
fermento	(fungos leveduras levedura fungo)
anos_80	(decênio década)
turíbulo	(vasilhame vasilha vaso)
fosfatos	(sal sais)
Foguete_espacial	(veículos veículo viatura)
creditar	(contabilizar computar contar)
Cryptobranchus_alleganiensis	(salamandras Anfíbios_caudados salamandra caudados)
parotidite	(inflamação)
Cordeiro_de_deus	(símbolo emblema)
veado-mula	(veados cervos cervo cervídeos Cervidae veado)
afofar	(inchar entumescer)
Estilete	(adaga punhal)
acerar	(intensificar)
dia_de_eleição	(dia)
mensagem_(de_rádio_ou_tv)	(mensagem)
preservação	(estado proteção protecção Estado situação condição)
paciente_internado	(paciente Paciente)
Copa_Davis	(taça)
relevo_(geografia)	(objeto_físico objeto)
batucar	(fazer ressoar soar)
reforçar	(ensinar fortificar fortalecer instruir lecionar)
ópera_rock	(álbum_conceptual Álbuns_conceituais)
Hamburguer	(carne_bovina bife carne carne_de_vaca)
artes_liberais	(terreno campo disciplina domínio)
sabonete	(mais_claro produtos_de_limpeza produto_de_limpeza mais_limpo)
Estábulo	(edifícios_rurais)
dialéctica	(filosofia)
agradecimento	(adoração reconhecimento)
instituição_de_ensino_superior	(comunidade grupo)
prorrogar	(adiar)
porrete	(vara pau bastão Clava)
Termoeletricidade	(eletricidade electricidade)
grafo_orientado	(caracter letra caractér carácter)
mil_milhões	(bilhão)
cunhada	(cunhado consogro)
autólise	(lise)
corromper	(pagar alterar mudar modificar)
espingarda	(arma_de_fogo)
formulário	(documentação documentos documento)
engenheiro_mecânico	(engenheiro)
filólogo	(humanista)
príon	(Partícula_subatômica partícula Partícula_subatómica partículas_sólidas
       partículas)
transação_penal	(Regateio)
estenose_pilórica	(estenose)
amiloidose	(enfermidade nausea doença enjoo)
adequação	(adequabilidade conveniência atributos qualidade)
contra-argumento	(argumento)
Princípio_de_Le_Châtelier	(regra princípio)
sericultor	(produtor fabricante)
Fungi	(reino)
depredar	(destroçar arruinar destruir estraçalhar detonar)
trombócito	(Proto-Plasma Proto-plasma protoplasma)
lei	(negócio_jurídico jurisprudência ciências_jurídicas ideia idéia concepção
     conceito montão colecção ruma chusma coleção grupo acúmulo aglomeração)
subvocalizar	(pronunciar falar dizer)
chefia	(alma indivíduo ser_humano alguém pessoa)
quiché	(línguas_maias maia Línguas_maias)
corte	(estilo Ferida cortamento quarto penteado carne vianda corte_de_cabelo
       governo regime abertura ferimento ferida ferimentos lesão mágoa câmara
       aposento sala redução diminuição maneira)
Audiograma	(figura ilustração desenho imagem afiguração representação)
guitarra	(violão Guitarra instrumento_de_cordas tocador instrumentista
          instrumentalista músico)
Metáforas	(metáfora figura_de_linguagem figura_linguagem)
família_real	(casa)
metanol	(Alcool Álcoois álcoois álcool carburante combustível
         material_com_que_se_aquece)
material_particulado	(materiais)
mal-me-quer	(flor)
submergir	(cobrir naufragar deslocar mover)
falar_gírias	(falar dizer)
especular	(investir raciocinar)
intencionar	(denominar designar)
roupa_interior	(roupa_de_baixo)
detrimento	(avaria dano estrago prejuízo)
ler_superficialmente	(ler)
C	(linguagem_de_programação)
gata	(bomba moça Bombas garota rapariga mulher senhorita)
articular	(dizer contar falar)
aparelho	(ferramenta aparato mecanismo instrumento dispositivo equipamento)
gonadotrofina	(hormona hormônio Hormônios)
lepidópteros	(insecto insetos hemípteros inseto Insectos)
napalm	(gasolina benzina)
Ícone	(pintura figura ilustração desenho imagem afiguração representação)
algina	(resina)
lançado	(fazer desempenhar apresentar)
desvincular	(desconectar)
infinito	(propriedade característica predicado atributo)
ardósia	(rocha_sedimentar)
sobressaltar	(impressionar comover afetar)
aramaico	(escrita línguas_semíticas Línguas_semíticas Línguas_Semíticas)
cosmos	(flor)
pipi	(micção fezes merda excreção excremento urina Micção)
Baleia-da-Groenlândia	(Misticetos baleia)
volúpia	(alegria prazer)
cobras	(Diapsida)
Zona_térmica	(região área_geográfica região_geográfica)
produtor	(causa creador fazedor criador)
queda	(Gravitação gravidade conclusão término fim cabo rebaixamento fallout
       descida descenso)
Ante-braço	(perna membro)
carnificina	(homicídio assassínio homicídio_doloso assassinato)
Violeta-dos-campos	(viola)
anátema	(Maldição maldição)
perfumar	(cuidar-se)
equilíbrio_de_Nash	(equilíbrio)
disco_rígido	(disco_magnético disco)
opinião	(conceito idéia ideia perspicácia pensamento convicção religião crença
         fé Crenças Crença objecto_mental)
Teologia_Natural	(teologia)
Agnatha	(espécies classe)
safado	(proxenetismo cafetão chulo proxeneta culpado)
condor-da-califórnia	(condor)
Baldaquino	(toldo)
Polinómios	(função)
Tungsténio	(metal Metais metais)
disco_compacto	(gravação Gravação disco_ótico disco_óptico)
solicitude	(afeição)
piscamento	(reflexo Reflexos)
roupa_íntima	(roupa_de_baixo)
antigénio	(substância)
Música_atonal	(Notacao_musical notação_musical Notação_musical)
